frame_number;event;key_point
1;no_sound_direction;
3;speaker_right_start;greetings
25;speaker_right_stop;greetings
27;speaker_front_start;greetings
27;speaker_left_start;greetings
55;speaker_front_stop;greetings
55;speaker_left_stop;greetings
67;speaker_front_start;intro_proposal
410;speaker_front_stop;intro_proposal
420;speaker_right_start;obj_proposal
685;speaker_right_stop;obj_proposal
689;speaker_front_start;interjection
699;speaker_front_stop;interjection
706;speaker_left_start;need_info
811;speaker_left_stop;need_info
828;speaker_front_start;share_info
905;speaker_right_start;interjection
920;speaker_right_stop;interjection
984;speaker_front_stop;share_info
1002;speaker_left_start;interjection
1002;speaker_right_start;interjection
1015;speaker_front_start;share_info
1020;speaker_left_stop;interjection
1020;speaker_right_stop;interjection
1040;non_essential_info_start;
1261;speaker_right_start;interjection
1272;speaker_right_stop;interjection
1370;speaker_right_start;interuption
1395;speaker_front_stop;share_info
1395;non_essential_info_stop;
1497;speaker_front_start;interuption
1540;speaker_right_stop;interuption
1545;speaker_front_stop;interuption
1550;speaker_right_start;interjection
1564;speaker_right_stop;interjection
1566;speaker_right_start;share_info
1929;speaker_right_stop;share_info
1947;speaker_front_start;interjection
1951;speaker_right_start;share_info
1957;speaker_front_stop;interjection
2008;speaker_right_stop;share_info
2015;speaker_front_start;interjection
2021;speaker_front_stop;interjection
2025;speaker_left_start;share_info
2030;speaker_right_start;interuption
2055;speaker_right_stop;interuption
2133;speaker_left_stop;share_info
2145;speaker_right_start;interjection
2155;speaker_right_stop;interjection
2160;speaker_left_start;init_discussion
2305;speaker_left_stop;init_discussion
2322;speaker_front_start;answer
2385;speaker_front_stop;answer
2389;speaker_right_start;answer
2430;speaker_right_stop;answer
2431;speaker_left_start;answer
2488;speaker_left_stop;answer
2492;speaker_right_start;interjection
2497;speaker_front_start;interjection
2507;speaker_left_start;answer
2515;speaker_front_stop;interjection
2515;speaker_right_stop;interjection
2538;speaker_left_stop;answer
2541;speaker_right_start;open_question
2544;speaker_front_start;interjection
2555;speaker_front_stop;interjection
2700;speaker_right_stop;open_question
2714;speaker_front_start;discuss_open_question
2717;speaker_left_start;interuption
2738;speaker_left_stop;interuption
2738;speaker_front_stop;discuss_open_question
2738;speaker_right_start;discuss_open_question
2797;speaker_right_stop;discuss_open_question
2801;speaker_front_start;discuss_open_question
2838;speaker_right_start;interjection
2845;speaker_right_stop;interjection
2851;speaker_front_stop;discuss_open_question
2861;speaker_right_start;conclusion
2874;speaker_front_start;interjection
2883;speaker_front_stop;interjection
2937;speaker_right_stop;conclusion
2953;speaker_front_start;conclusion
3017;speaker_right_start;interjection
3024;speaker_right_stop;interjection
3114;speaker_front_stop;conclusion
3114;speaker_right_start;interjection
3125;speaker_right_stop;interjection
3128;speaker_right_start;conclusion
3186;speaker_front_start;conclusion
3200;speaker_right_stop;conclusion
3205;speaker_left_start;interjection
3212;speaker_left_stop;interjection
3214;speaker_front_stop;conclusion
3214;speaker_right_start;conclusion
3230;speaker_front_start;conclusion
3260;speaker_right_stop;conclusion
3260;speaker_front_stop;conclusion
3272;speaker_right_start;interjection
3272;speaker_front_start;interjection
3287;speaker_right_stop;interjection
3287;speaker_front_stop;interjection
3293;speaker_right_start;interjection
3298;speaker_left_start;interjection
3309;speaker_right_stop;interjection
3309;speaker_left_stop;interjection
3315;speaker_front_start;bye
3341;speaker_right_start;bye
3350;speaker_left_start;bye
3379;speaker_front_stop;bye
3379;speaker_right_stop;bye
3379;speaker_left_stop;bye
